channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A1,0.077,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A2,0.077600002,diff1X,-,0,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A3,0.074600004,diff1X,-,0,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A4,0.074299999,diff2X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A5,0.073600002,diff2X,-,0,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A6,0.075400002,diff2X,-,0,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A7,0.075499997,diff1X,-,0,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A8,0.075599998,diff1X,-,0,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A9,0.0766,diff1X,-,0,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A10,0.075099997,diff2X,-,0,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A11,0.075000003,diff2X,-,0,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A12,0.075599998,diff2X,-,0,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B1,0.081100002,diff1X,-,10,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B2,0.081500001,diff1X,-,10,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B3,0.081900001,diff1X,-,10,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B4,0.084200002,diff2X,-,10,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B5,0.080300003,diff2X,-,10,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B6,0.081799999,diff2X,-,10,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B7,0.080799997,diff1X,-,10,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B8,0.0832,diff1X,-,10,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B9,0.0788,diff1X,-,10,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B10,0.074900001,diff2X,-,10,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B11,0.074100003,diff2X,-,10,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,B12,0.073799998,diff2X,-,10,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C1,0.074900001,diff1X,-,20,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C2,0.076200001,diff1X,-,20,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C3,0.0748,diff1X,-,20,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C4,0.075800002,diff2X,-,20,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C5,0.075400002,diff2X,-,20,10,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C6,0.075199999,diff2X,-,20,10,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C7,0.078199998,diff1X,-,20,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C8,0.076200001,diff1X,-,20,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C9,0.076099999,diff1X,-,20,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C10,0.075199999,diff2X,-,20,50,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C11,0.075300001,diff2X,-,20,50,2
OD700,Absorbance,700,-1,20,-1,0.0,0.0,C12,0.074100003,diff2X,-,20,50,3
OD700,Absorbance,700,-1,20,-1,0.0,0.0,D1,0.075599998,diff1X,-,30,10,1
OD700,Absorbance,700,-1,20,-1,0.0,0.0,D2,0.075099997,diff1X,-,30,10,2
